Meta Name,Activity Name/Type,
Write in UI,"NTypeInto, SetToClipboard; NKeyboardShortcuts, CVTypeIntoWithDescriptor",
Write to Text File,"WriteTextFile, WordAppendText, DocumentAppendText, AppendLine, DocumentReplaceText, WriteTextFile,NTypeInto",
Write to SpreadSheet,"WriteCSVFile, WriteCellX, AppendCsvFile, WriteRangeX, AutoFillX, ExportExcelToCsvX, InvokeVBAX,CopyPasteRangeX, AppendRangeX, AutoFitX, FindReplaceValueX, AppendRange, WriteCell, WriteRange, ExecuteMacroX, OutputDataTable,  AddDataRow, UpdateRowItem, NTypeInto",
Creation of Data Objects,"BuildCollection<Object>, CreateList<Object>, BuildDataTable",
Write to Data Objects,"AppendItemToCollection<Object>, AppendItemToList<Object>,  UpdateListItem<Object>, AddDataRow, UpdateRowItem",
SAP login,"Login, Logon, ",
OCR,"GoogleCloudOCR, MicrosoftAzureComputerVisionOCR, CjkOCR, GoogleOCR, UiPathDocumentOCR, UiPathScreenOCR",
Send Mail ,"SendMail, SendOutlookMail, SendMailX",
Receive Mail,"GetPOP3MailMessages, GetOutlookMailMessages, GetIMAPMailMessages",
Save Mail,"SaveMail, SaveOutlookMailMessage, SaveMailX",
Log User Message ,"LogMessage, WriteLine",
Get text,"CVGetTextWithDescriptor, NGetText, GetOCRText",
Click,"CVClickWithDescriptor, Nclick, ClickOCRText",
Hover,"CVHoverWithDescriptor, Nhover, HoverOCRText",
Highlight,"CVHighlightWithDescirptor, Nhighlight",
Extract DataTable,"CvExtractDataTableWithDescriptor, NExtractData",
Read File Text,"DocumentReadText, WordTextRead, ReadTextFile",
Save to clipboard,"SetToClipboard, CopySelectedText",
Loop,"ForEach<Object>, InterruptibleWhile,InterruptibleDoWhile, ParallelForEach<Int32>",
Condition,"If, IfElseIf, Switch<Int32>",
